[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.123605  0.011426
H     0.878189  0.054013,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.121686  0.028928
H     0.874477  0.067766,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  1.387779e-17  5.628766e-17
(TEMP, H)     0.000000e+00  1.913933e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    1.387779e-17  5.628766e-17
(RH, H)       0.000000e+00  1.913933e-16
(CO2, PPFD)   1.387779e-17  5.628766e-17
(CO2, H)      0.000000e+00  1.913933e-16
(PPFD, H)     1.429331e-03  5.329705e-02]
