[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037229  0.027255
PPFD  0.883903  0.301259
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037356  0.044151
PPFD  0.922845  0.472524
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   1.387779e-17  2.809551e-17
(TEMP, PPFD)  0.000000e+00  1.378782e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     1.387779e-17  2.809551e-17
(RH, PPFD)    0.000000e+00  1.378782e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -9.778768e-03  9.206408e-02
(CO2, H)      3.528385e-02  1.168379e-01
(PPFD, H)    -9.483289e-03  6.484664e-01]
