[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350463  0.016803
PPFD  0.653279  0.025430
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.346724  0.025075
PPFD  0.649366  0.031105
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -5.551115e-17  7.525174e-17
(TEMP, PPFD)  0.000000e+00  1.308343e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -5.551115e-17  7.525174e-17
(RH, PPFD)    0.000000e+00  1.308343e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   3.717239e-03  4.642785e-02
(CO2, H)      2.485849e-04  3.641997e-02
(PPFD, H)    -8.637020e-05  4.962844e-02]
