[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.207214  0.009415
PPFD  0.794783  0.029392
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.205186  0.020931
PPFD  0.792617  0.038876
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  7.164379e-17
(TEMP, PPFD)  0.000000e+00  1.972996e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  7.164379e-17
(RH, PPFD)    0.000000e+00  1.972996e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.894075e-03  4.013207e-02
(CO2, H)      1.826167e-04  2.493539e-02
(PPFD, H)    -2.518910e-05  5.542369e-02]
