[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350463  0.015584
PPFD  0.653279  0.028314
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.346724  0.025923
PPFD  0.649366  0.036710
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -5.551115e-17  7.360507e-17
(TEMP, PPFD)  1.110223e-16  2.139535e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -5.551115e-17  7.360507e-17
(RH, PPFD)    1.110223e-16  2.139535e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   3.717239e-03  4.818667e-02
(CO2, H)      2.485849e-04  4.251195e-02
(PPFD, H)    -8.637020e-05  4.700835e-02]
