[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.123439  0.006112
H     0.878566  0.027988,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.121425  0.015902
H     0.876783  0.039057,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  5.376708e-17
(TEMP, H)     0.000000  1.325954e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  5.376708e-17
(RH, H)       0.000000  1.325954e-16
(CO2, PPFD)   0.000000  5.376708e-17
(CO2, H)      0.000000  1.325954e-16
(PPFD, H)     0.001187  3.080241e-02]
