[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.350475  0.015628
PPFD  0.653302  0.026649
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.346725  0.025977
PPFD  0.649365  0.037348
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  9.213175e-17
(TEMP, PPFD)  1.110223e-16  1.735707e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     0.000000e+00  9.213175e-17
(RH, PPFD)    1.110223e-16  1.735707e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   3.749289e-03  4.813261e-02
(CO2, H)      2.557150e-04  3.707484e-02
(PPFD, H)    -6.704932e-05  4.690882e-02]
