[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.068957  0.048126
PPFD  0.924485  0.239463
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.009798  0.081214
PPFD  0.911930  0.405447
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   3.469447e-18  2.415129e-17
(TEMP, PPFD)  0.000000e+00  1.822506e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     3.469447e-18  2.415129e-17
(RH, PPFD)    0.000000e+00  1.822506e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   7.254803e-02  1.274692e-01
(CO2, H)      5.787564e-02  9.119599e-02
(PPFD, H)     9.236599e-03  6.544913e-01]
