[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.015211  0.006897
PPFD  0.945618  0.234375
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007935  0.040774
PPFD  0.954693  0.332632
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.214306e-17  2.050980e-17
(TEMP, PPFD)  0.000000e+00  2.236266e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -1.214306e-17  2.050980e-17
(RH, PPFD)    0.000000e+00  2.236266e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -2.472102e-02  7.672816e-02
(CO2, H)      2.467937e-02  5.430442e-02
(PPFD, H)     4.413430e-02  3.903990e-01]
