[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.675554  0.250521
H     0.408258  0.169155,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.599574  0.281832
H     0.432014  0.207961,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.581430e-16
(TEMP, H)     0.000000  9.510131e-17
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.581430e-16
(RH, H)       0.000000  9.510131e-17
(CO2, PPFD)   0.000000  1.581430e-16
(CO2, H)      0.000000  9.510131e-17
(PPFD, H)     0.082964  5.152028e-01]
