[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.066163  0.042217
PPFD  0.922246  0.250766
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012451  0.076538
PPFD  0.908748  0.445780
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   1.734723e-18  2.113794e-17
(TEMP, PPFD)  0.000000e+00  1.526961e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     1.734723e-18  2.113794e-17
(RH, PPFD)    0.000000e+00  1.526961e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   6.552679e-02  1.209138e-01
(CO2, H)      5.388457e-02  9.230513e-02
(PPFD, H)     1.652755e-02  7.471702e-01]
