[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.278991  0.129778
PPFD  0.621877  0.189821
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.158452  0.176473
PPFD  0.638537  0.236131
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.775558e-17  6.730325e-17
(TEMP, PPFD)  0.000000e+00  1.816098e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.775558e-17  6.730325e-17
(RH, PPFD)    0.000000e+00  1.816098e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.939754e-01  3.065306e-01
(CO2, H)      1.070799e-01  2.258237e-01
(PPFD, H)    -1.161502e-01  4.163163e-01]
