[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037521  0.027240
PPFD  0.876131  0.327235
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037486  0.040676
PPFD  0.919074  0.478115
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.081668e-17  3.304340e-17
(TEMP, PPFD)  0.000000e+00  1.361371e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     2.081668e-17  3.304340e-17
(RH, PPFD)    0.000000e+00  1.361371e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -1.400754e-02  8.049724e-02
(CO2, H)      3.772295e-02  1.212246e-01
(PPFD, H)    -1.012912e-02  6.770087e-01]
