[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037521  0.025955
PPFD  0.876131  0.309601
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037486  0.041712
PPFD  0.919074  0.400006
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.387779e-17  3.231488e-17
(TEMP, PPFD)  0.000000e+00  1.562414e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -1.387779e-17  3.231488e-17
(RH, PPFD)    0.000000e+00  1.562414e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -1.400754e-02  8.979050e-02
(CO2, H)      3.772295e-02  1.125585e-01
(PPFD, H)    -1.012912e-02  6.024007e-01]
