[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.011488  0.006259
PPFD  1.015116  0.281972
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.014882  0.035184
PPFD  1.008026  0.322080
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.734723e-18  1.612606e-17
(TEMP, PPFD)  0.000000e+00  1.702320e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -1.734723e-18  1.612606e-17
(RH, PPFD)    0.000000e+00  1.702320e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   2.252761e-02  8.584283e-02
(CO2, H)     -1.220559e-03  7.600311e-02
(PPFD, H)    -9.785870e-03  3.610883e-01]
