[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037229  0.033516
PPFD  0.883903  0.312557
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037356  0.038235
PPFD  0.922845  0.497848
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   6.938894e-18  2.241474e-17
(TEMP, PPFD)  0.000000e+00  1.942920e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     6.938894e-18  2.241474e-17
(RH, PPFD)    0.000000e+00  1.942920e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -9.778768e-03  8.443204e-02
(CO2, H)      3.528385e-02  1.075120e-01
(PPFD, H)    -9.483289e-03  7.347684e-01]
