[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.046734  0.032095
PPFD  1.020441  0.185674
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.082744  0.056853
PPFD  0.935696  0.393083
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.071392e-17
(TEMP, PPFD)  0.000000  2.060274e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  3.071392e-17
(RH, PPFD)    0.000000  2.060274e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.003235  1.209337e-01
(CO2, H)     -0.048450  1.223037e-01
(PPFD, H)     0.095961  6.656157e-01]
